Samples,Al,Fe,Ca,Mg,Mn,Na,K,P
1A,0.0126,0.0067,0.557,0.0881,0.0005,31.4745,0.0631,0.0009
1B,0.0066,0.0029,0.4222,0.0652,0.0001,32.1957,0.0511,0.0002
1C,0.0117,0.01,0.5059,0.126,0.0004,29.3173,0.0525,0.0007
1D,0.0253,0.019,0.3466,0.0674,0.0006,31.6534,0.0213,0.0005
1E,0.0363,0.0224,0.5914,0.1982,0.0004,30.5077,0.0491,0.0002
2A,0.0113,0.0176,0.3535,0.1859,0.0002,29.9623,0.1405,0
2B,0.9229,0.2436,6.8838,1.8324,0.0068,6.2259,0.454,0.0049
2C,0.6531,0.1478,7.2762,1.5249,0.0043,4.0209,0.3461,0.0038
3A,0.0089,0.0043,2.1502,0.0577,0.0003,28.7126,0.0224,0
3B,0.0975,0.0525,7.6106,0.4421,0.0015,5.3817,0.1324,0.0036
3C,0.2747,0.1475,6.4824,0.9029,0.0032,1.8447,0.1408,0.0033
3D,0.6303,0.1746,6.5285,2.0104,0.005,11.5248,0.3848,0.0041
3E,0.63,0.1654,7.4251,1.1824,0.0046,7.0515,0.3272,0.0041
3F,0.0186,0.0183,6.7398,0.3127,0.0006,10.9019,0.1142,0.0006
3G,0.0072,0.0031,2.1951,0.2616,0.0001,23.8065,0.0926,0.0001
3H,0.1621,0.0964,8.1573,0.5968,0.0032,1.8348,0.1136,0.0024
3I,0.0123,0.0028,8.3865,0.092,0.0001,1.2044,0.0498,0.0009
3J,0.0541,0.0133,9.2317,0.0375,0.0002,0.2247,0.0323,0.0014
3K,0.786,0.3873,7.2647,2.0028,0.0085,1.6923,0.3416,0.0091
4A,0.0337,0.0097,8.3734,0.1092,0.0003,1.1539,0.0525,0.0014
4B,0.0015,0,0.349,0.13,0.0001,27.7696,0.0551,0
4C,0.0281,0.0161,7.902,0.3477,0.001,2.8618,0.1253,0.0016
4D,0.0264,0.0056,8.4791,0.1102,0.0001,2.2228,0.0678,0.0012
4E,0.7205,0.3078,7.3505,2.0542,0.0073,1.8808,0.3581,0.008
4F,0.2275,0.0892,7.7998,0.654,0.0025,11.6903,0.2463,0.0041
4G,0.0134,0.0052,8.9965,0.051,0.0002,4.2259,0.0276,0.0009
5,1.1994,0.4809,9.7609,1.9371,0.0154,0.7655,0.4471,0.0109
6,1.6028,0.2265,4.2626,0.695,0.0055,3.1109,0.8912,0.0068
7,0.0141,0.0064,6.9956,0.3241,0.0006,3.4548,0.1352,0.0012
8,0.5327,0.1538,8.8124,4.7061,0.0043,1.5661,0.3108,0.0073
9,0.0034,0.0025,0.3009,0.195,0.0001,26.8443,0.0813,0.0002
10,1.8206,0.4163,5.9332,1.5725,0.0118,3.0561,0.8672,0.0087
11,2.2646,0.4263,4.6296,1.1838,0.012,6.1522,1.0289,0.0083
12,1.2937,0.402,6.5568,2.1552,0.0122,8.8876,0.7264,0.0083
13,2.0995,0.4463,5.7271,0.9265,0.012,2.5322,0.9365,0.0087
