,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
Ba,0.3494308623168413,-0.028132171615487617,-0.18825500829699868,-0.15737985088863407,0.1421167344807984,0.03344408737761247,-0.03116143679788253,0.00959922378865425,-0.30514882030057205,0.6410079452050458,-0.16834006749574454,0.044842723001041127,0.33864647195229536,-0.37621360542554155,0.05550166345873319,0.02940498815267854
B,0.3118877028831762,-0.04940088560777808,0.22712490964303034,0.27338962680871165,-0.020379038701288342,-0.39122578552601756,0.0006603065527413334,-0.2637393827596822,0.2840792182120968,-0.1456373898792077,-0.5311080517731438,0.2769640458681556,-0.10357740366147274,-0.2797344688633262,0.02075873972541461,0.028627056348646606
Sr,0.024601836231342312,-0.07641488352886135,0.47326493312084733,-0.46203380920796,-0.5095068991233332,0.37276002846167644,-0.25724581279217645,0.13935026284855356,0.028992266495831764,0.011881196275570154,-0.22282174443061567,0.05598041856871203,-0.07465285725284102,-0.11178550902710316,0.007445182135566475,0.008356026023037103
V,0.35992248392920356,-0.04344076801625294,0.06715071745554241,-0.008039972580566932,0.14531730558629818,0.012181358652443982,-0.32092831310903636,0.11422282784252309,0.14225457759718768,-0.4615998768807985,0.1686768346338288,-0.39421981072109824,0.4986566637973827,-0.20535275003950923,-0.12759738117424252,-0.04905351153613065
Ni,-0.01232563309638332,0.5137739618858227,0.06975785685137442,-0.055265798066050684,-0.001283220724673107,-0.06391851781968355,0.0069236532140764225,-0.03490047142171844,-0.026680273436457083,0.036670097332403076,-0.0064901340435844215,-0.1357476398760814,-0.07901969804710111,-0.0780484488446076,-0.43295854977104753,0.7087283463403794
Cr,0.20995584775473028,0.4159047158806882,0.007047147017854958,-0.06738664735252015,0.09242972004103066,0.000837840189718323,-0.21589956648143874,0.16690035143234194,-0.009156486591851082,-0.08057410266408954,-0.020008250870441394,0.5914199919152148,0.30482813344669524,0.48349412364346067,0.10638691980910714,-0.024082817310105403
Cu,0.31218900274638395,-0.027151037741761055,0.17075394819894005,0.09460839660518923,-0.41402358528803856,-0.07669650143886537,0.2793031102307581,-0.43502940559920106,-0.5470301030124552,-0.15498118979820824,0.21586509954848684,-0.02349343248119222,0.13829954162648075,0.17073845106094795,-0.01920624711901481,-0.008743418818991888
Co,0.3663225349793383,-0.017207185503553806,0.04836195058322617,0.01398594018795433,-0.01689423810972712,-0.11106964693250576,-0.25833009319371464,0.051131633817593,0.10421468167418307,0.13789176982491017,0.6509123950110978,0.24184257633702394,-0.46906534863623056,-0.21969898391168227,-0.010430244549841273,-0.023624414788912113
Cd,0.2879490543838089,0.04577870782313398,0.07207025583564801,0.3028191865480816,-0.1470545529768999,0.16817953180060305,0.5590738122328827,0.6676985947760397,0.05163544336729987,-0.023636876628064976,-0.022734142094366278,0.005989254035052505,-0.022758880675943977,-0.06524809015919651,-0.03515823861548766,0.003566233660870156
As,0.02311322299094621,0.14843879524366627,-0.37490169913320814,0.5589816922124102,-0.3068958104260941,0.5239467777990624,-0.3303097043544686,-0.1707460387002515,0.03826528179040079,0.012598430462674849,-0.09211433524952284,0.010757145110023193,-0.03264955952309058,-0.07840701724141061,-0.00040018850390309026,0.004287002647996129
Pb ,0.2349899601847145,0.03619391052212961,-0.34754594369489894,-0.4006677928533773,-0.10531441232031843,0.22366679540451204,0.4029159726274857,-0.3398597356550148,0.5483061249832951,-0.023906903374270524,0.08355045002863246,0.0609993860538733,0.07404943857563971,0.03540805667024543,-0.06592660340698932,-0.013669606014349321
Zn,-0.017349594726038645,0.5117652113798324,0.07768859970472479,-0.051528525319063816,-0.03040389376860786,-0.04051109421094024,0.07754395191472746,-0.055697761809384475,0.036254271384335346,-0.05419913601447117,0.05446271280695479,-0.26102334757875295,-0.052614773245684636,-0.20455603822942123,0.7729116685352574,0.008280928412148211
Mo,-0.037169102389041066,0.5112226073692846,0.06959437829840581,-0.04540652765559425,-0.014537263259221587,-0.07530196801031677,0.030757303540744883,-0.043324552446835245,-0.0453303135135347,0.08793923507940703,-0.07611795179666388,-0.12740218256047584,-0.10476859162120647,-0.10975695497339011,-0.41811108466343283,-0.7014318891755061
Be,0.2925101260223047,-0.009403820024596294,-0.33756478057785294,-0.2739652298834145,0.25961143652437507,0.15521293003414297,-0.029238387435686606,0.0692968549189912,-0.39136063167776264,-0.4082818509661393,-0.29395400709942254,-0.03130338459346703,-0.46946534913937255,0.002549557493513913,0.023298537409574924,0.001807451913290569
Li ,0.3668731522646128,-0.0476790084575694,-0.0010021442251940806,0.04381875569945789,-0.0988770187060842,-0.17242614125628866,-0.17951227027777983,0.04650492434398357,0.17908074792348533,0.3362938488843804,-0.17010085345834566,-0.49549309035609423,-0.18551973332093452,0.575080843575483,0.05067185531398588,-0.0007466180120442602
Sb,0.11864797295800121,-0.003800691891912297,0.5066658971830776,0.15433581618409214,0.5596566694984666,0.5200534352493139,0.12002079107224649,-0.2729852781358817,0.02890747052761031,0.10984226783888999,0.025910568786118263,-0.02760178219418953,-0.08011282997146808,0.10952563602451929,0.0008950026502923455,-0.0056841021743769225
