,RPC1,RPC2,RPC3,RPC4,RPC5
Ba,0.08412592972422557,-0.02767671121531682,-0.43538981060477044,-0.034201316830873706,0.06871454581329073
B,0.4146761844179271,-0.04719547031378907,0.0504802064586795,-0.22298164137094795,-0.002119098814052001
Sr,0.031456607161687834,0.016355093679227915,0.047852299654802075,0.060319149432238886,-0.8344527866837002
V,0.20797019943183936,-0.031604172306864554,-0.2520293747101639,-0.22199947549352517,0.008323081475273188
Ni,-0.016982959148983772,0.5207647894468043,0.015946715503701914,-0.010411690630618139,-0.013806917132716829
Cr,0.0895696978166525,0.42137878299005155,-0.1894395571301395,-0.08353564478795722,0.04175771893463683
Cu,0.4646894498285497,-0.011424321878306281,0.028535249694288136,0.10529884198108859,-0.282406505740778
Co,0.2864286299085009,-0.008164935291039371,-0.20818836452122882,-0.09639913100375866,-0.05064556402326012
Cd,0.4434155961457633,0.029988726763810515,0.0540251218184113,-0.020733898240222173,0.051610542698482136
As,0.39308911940598495,0.06233265047930025,0.2334092148523081,0.43581767224239476,0.40858760576065917
Pb ,-0.05552040080391267,0.042967037948783114,-0.4992896914942583,0.29054482093726136,-0.10153373299662541
Zn,-0.006041584737907252,0.5193396672902792,0.032293041807406074,0.005367462775159569,-0.03158960659128962
Mo,-0.02447819384269845,0.5170539930215654,0.041263244904323794,0.003216669008743146,-0.013767451198847263
Be,-0.08786501089664539,-0.014628008078899985,-0.5572487876623464,0.0043224179416029625,0.15354640501911573
Li ,0.3276916974834471,-0.04526231706940748,-0.1909532856433014,-0.009216191874909579,-0.05087562024829712
Sb,0.02190475956584645,0.028896736405976342,0.07319069725033021,-0.7705803240052164,0.08585741791499624
