Samples,PC1_score,PC2_score,PC3_score,PC4_score,PC5_score
1A,-1.4873983278543708,9.943497316733705,0.08799090213609571,0.4345555426256235,0.08184275601511569
1B,-2.3649442701725407,-0.2906793174663627,-1.687250748982062,1.2235830644217192,0.5362819730392481
1C,-2.5086443676749677,-0.4567082256396,-0.9113434644485298,0.8165683979091742,0.6709871943096444
1D,-2.539213684045676,-0.3468664643779238,-1.0532211695094116,0.8250400415799845,0.7659719192740612
1E,-2.4128428302812956,-0.7021731785393651,-0.452574843182985,-0.4857593640417307,1.5209730231393277
2A,-2.4971625093744843,-0.4164207480594028,-1.1211719246445269,0.9460954357370475,0.6221284223502929
2B,1.5634432068419655,-0.4118417864760077,-0.016272382633143224,0.14961168286874565,-0.18493174304402404
2C,0.593538410929737,-0.7775279184609767,1.2561028288359593,-0.002869770317876128,0.3145377367313086
3A,-1.6497846970961003,-0.33609310870490533,-1.1923424775861127,1.1589943842158144,-0.45704126232934084
3B,-1.7963985484559988,-0.7044816171336171,0.2850342229587975,-0.37026379279799254,-0.13350468031573207
3C,-0.7591701895029225,-0.7984890680187091,0.8677936141450106,-0.8205162254969895,-0.16846818316576748
3D,2.705893994860898,-0.5041842772025855,0.6458868736551694,2.1381335392343597,-1.5848637377581023
3E,0.6265545737495155,-0.5447609240694452,-0.1268660083665034,0.7627148668232513,-0.6079789053751528
3F,-2.105233104276899,-0.518352466864763,-0.2838383959314068,0.4974788309361901,-0.6763925842023372
3G,-1.7810544913785966,-0.32208850505814074,-1.0087571842473706,1.454736490007435,-0.22776187766439662
3H,-0.8055379653152163,-0.861024162903887,1.4009769300640935,-1.0453004418021417,-1.6490510429491816
3I,-2.040036164847983,-0.9261520265535624,1.0027220110409254,-1.023568073404925,-0.4416340992230814
3J,-1.774833234258507,-1.1013015868266691,1.5320637087596136,-1.2877601439293305,-0.07566103864935285
3K,1.9856169518645412,-0.4292199759473029,0.4090314597115374,-0.884770288032997,-0.43613262239247164
4A,-1.809076995654508,-0.9859607176785752,0.9344858860570305,-1.2324837593826368,-0.20265187438325405
4B,-2.2962688792096455,-0.6149592663291817,-0.8090943673647576,0.14316248803686066,1.0201670614716059
4C,-2.3070263838107308,-0.8504196667564562,0.4733437797083719,-0.729951011279959,0.15114381204812138
4D,-1.5816742323416164,3.902364993004486,1.7207543623599901,-1.3594933488493872,0.6176607239124493
4E,1.326284136961699,-0.5245862375869554,0.06033966177157457,-1.0436300827404155,-0.1473849719968
4F,1.1447487566414938,2.0377876709769844,0.1984304957860155,-0.5393362035997111,-1.982740262704544
4G,-1.8051178438971531,-0.8300895550576047,2.420287820561484,-0.2843118513993988,0.16081998769022476
5,6.557084804122497,-0.24055896481192307,4.531891899001071,1.661731057610296,2.2197560103985263
6,3.1199506330257902,-0.6477212445925457,-1.9532299819121115,-2.3778548875700296,0.767854119430338
7,-1.998700370015154,-0.767490940560848,0.2493032798608972,-0.36715141866160456,-0.23233018160493227
8,2.4448117536348497,-0.5412305545726441,0.4303284336481668,2.616053666203256,-0.6980115523043611
9,-1.9545497148982687,-0.42341205456813086,-1.086748109922717,0.9903978896042377,0.19580327146679108
10,4.194059207241709,0.19571245358324146,-1.620196533210936,-0.050790568006654845,0.3211686398286968
11,5.2332300483953365,0.5956747533383818,-2.6304062089853675,-1.325027176910209,0.21409851200366756
12,4.36459581297797,0.09146326292891993,-0.6492488089524565,-0.13875110123670878,-0.8124989779182216
13,4.414856513114623,0.10829411025237833,-1.9042055601814054,-0.4492678683532954,0.5378444348716346
