,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
B,-0.5454230772718128,0.6576364862200768,-0.16371782772899499,0.2019321398984458,0.308605291206439,0.3437247854341308,-0.10182506908402685,0.02553972023517075,-0.042412145779600466,0.007345770557028628
Ni,0.5893824817496922,0.6756880635459128,0.21045451768022994,-0.07819180432067613,0.3246251733000258,-0.2308319427934623,0.03166129080520746,-0.08472748996574762,-0.013333290539974434,0.0495433349794324
Cr,0.8626878069347915,0.3261483431031028,-0.2636020025188586,-0.10172732287306639,-0.12603231107817026,0.2374669700414442,0.06304430601404573,-0.11765628232877452,-0.00577096833183598,-0.05697781367966596
Cd,0.6080155929644729,0.07042005482088408,-0.13600883623429985,0.7795093848421588,-0.09565965724769883,-0.11699549668574788,-0.0009611302163368321,-0.00023630631561950667,-0.013654680971304083,0.0028544028991509336
Ca,-0.5786708152215476,0.7822903747275796,-0.06625501824933072,0.09779495348784029,-0.01864584209483426,0.0007910901231786081,0.21587003846896174,0.011735062406786047,0.12614573462378748,-0.0043790232885810515
Mg,0.16277063342208933,0.6330466313585825,0.6991339911479707,0.04327834025627757,-0.23535566621493142,0.10727962674097971,-0.1957548469962182,-0.002260015347471724,0.026046023659017065,0.0010880455550137222
Na,0.2186763619532328,-0.7197112055661612,0.5496155899174823,0.16034633668643558,0.14395698131114631,0.22572296336022635,0.24174505887939302,-0.007364245495537747,-0.005577240014225245,0.004150768481479865
K,0.7581797858752162,-0.5735046560898406,-0.09975135557257386,0.01905032713169734,0.23398794336327522,0.06401351147959455,-0.19196844637188112,0.007096656190152316,0.11818372392920919,-0.005862662876518875
Fe,0.8585020926028553,0.46579579288964124,0.10260466074382553,-0.10924522579844814,0.12105787962128682,-0.08453994106919302,0.06520997453738286,0.12084394522489675,-0.024942355717992373,-0.07794864672598167
Ti,0.9249018063265506,0.19270664954637268,-0.20328112628972286,-0.14719966915530858,-0.15289516676466042,0.15945309720061504,0.07079570230707997,0.07044513948738138,-0.00022473767408297499,0.0972755822523559
