Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1A,-2.472908240121311,-1.509901833021786,0.2809530774396322,-0.19159600754966924,0.051062887462011305,0.17229309481710417,0.0264908734685372,-0.06517252153041458
1B,-2.6587055629066674,-1.5400232513015917,0.27014567059499717,-0.1285920299102596,-0.03274348391503839,0.07690450057510943,0.05651421729114109,0.004036021620719753
1C,-2.4539276295898036,-1.3986815600418128,0.26872113250835744,-0.145147565002382,0.12050055700239315,0.024958983598684082,0.02008932676463983,-0.06454475401439633
1D,-2.5533359619954648,-1.5460783799522406,0.29260153612389717,-0.28127637758643326,0.027435753820102233,0.015365506404794373,0.10196233713429055,-0.0344869054164266
1E,-2.473349330935186,-1.446865256634934,0.3301753366484555,-0.13206115768424467,-0.02810373632269814,-0.051774705256842295,0.06670365800551926,0.03675081030511521
2A,-2.431606417781181,-1.5320602040973976,0.22870932050014872,0.0891720864774622,-0.02698604006790992,-0.033409514184192565,-0.14743019801960996,0.08985121621489296
2B,1.8241836127653597,0.06770732215151141,0.38229225257889066,0.21414576728445606,-0.2655817179393529,-0.20731403712147814,0.025400027823518724,0.06780244385773421
2C,0.8903553439637065,0.6286383788733542,0.23492239226645462,0.39486404724543933,-0.13120894717782552,-0.14491642130754212,0.027094623190604614,-0.016239103365494778
3A,-2.503656732532305,-0.9789094507124287,0.14374103016277887,-0.1942360062798628,-0.21383333250358688,0.06767721066205457,0.12702337952879572,0.030086315151501973
3B,-0.5959902515640829,1.132943604110198,-0.25136811245804985,-0.12593013098962458,0.23838059317667618,0.31599100613442177,-0.03393961476712125,-0.06636625756531088
3C,0.03649171757198608,0.8804091271170944,0.0054978863742525625,-0.1758837661002872,0.3250235050840994,-0.3831420368551203,-0.029730283435846886,0.03567866590304636
3D,1.0250882001313693,0.06698407221606902,0.8444794878780081,0.36626757355907524,-0.35756692519388766,-0.0008913569879659549,-0.03829259506670769,0.0972952879666523
3E,0.7940857315480528,0.4709714546971855,0.03645651575355898,0.07226519058590204,-0.19000200776466325,0.04506323325140147,0.0643718049695711,0.05463586674717963
3F,-1.4383469785845586,0.7974203303602191,-0.27016391939654943,0.10110121434997915,-0.25346534126433357,0.0040526104020758465,-0.06853098599242981,0.09279974103280639
3G,-2.2406316761420397,-0.7614495503157896,0.14452147909146926,0.10511609227336204,-0.051556198855726876,-0.06490672329051,-0.05162221093362195,0.02126196875223049
3H,-0.29432405086874697,1.3373855589226231,-0.2788144658176906,-0.24355073915982006,-0.06414405288826593,-0.2116036449909966,-0.06855477328027054,-0.048040312419001995
3I,-1.307681734893573,1.6998574961670745,-0.6666278735925463,0.0734196203009131,-0.003152110151974875,-0.10101183031996894,0.028355047536989482,-0.01337563237534485
3J,-1.1450083019411132,1.9057323066108227,-0.7474114964643391,-0.04585747790855799,-0.012281300939686433,0.015587883113550754,0.13852477920431072,0.00905428922269016
3K,2.830581089893401,0.3085986393545976,0.7353832536462178,-0.8056276084075745,0.5657784639773098,-0.024195227423732188,0.04066443005455421,0.21178979974088222
4A,-1.1873369554546263,1.6723960445198442,-0.6452045142885369,0.019860333789271756,0.06604405366750006,-0.03855636254414134,0.045479990592280015,-0.03965175327625526
4B,-2.5700984440154806,-1.3276671528556152,0.2169200730664804,-0.003892563727907529,0.10622239724294068,-0.1496543135014222,-0.019149363187469653,-0.06018130840923485
4C,-0.986687160831597,1.4143522297300117,-0.44213530899363235,0.12127079549752671,-0.006186748213384508,-0.010454235982348792,-0.13567980095097187,-0.06631666778670643
4D,-1.24315953828813,1.6442926653774064,-0.6417256630796183,0.0715417234030276,-0.01731570908002265,0.013037139692481482,0.03362834896209964,0.009599053555192914
4E,2.378113425146352,0.4658493030869829,0.7583195034952863,-0.37627230341939194,0.41607684134611533,0.01802483353764012,-0.01704920180458187,0.08531316463951272
4F,-0.18961469113006915,0.6524845569903533,-0.07443662868398784,-0.12226745822364649,-0.11836159252000429,0.6120189296299576,-0.05982156462439522,0.08945399604458887
4G,-1.363420056237084,1.6914105176692291,-0.6315132032882764,-0.06827600695983307,-0.21070352014398902,0.07191368003517593,0.12933529565895954,0.04892203809714628
5,4.479986910282562,0.2699610470518215,0.3406618301575353,-1.6130734222288874,-0.17613017913069645,0.06807508115196785,0.01879230955344072,-0.22241702368970764
6,2.414337133756505,-1.0772989568635052,-1.2468444733052664,1.1306306767064278,0.4785340181637814,0.26488483372864235,-0.0735231008232249,-0.056820510089888594
7,-1.1752088845774884,1.2113783869545336,-0.4370700669820468,0.24212233066854544,0.07827507597405067,-0.11574026448379718,-0.18616617318068826,-0.07340321940599978
8,2.379919862396447,1.456619573165288,3.16177896658152,1.1231564105435332,0.051585435928945975,0.0632592996580648,0.11488808017407783,-0.11143879335757856
9,-2.4646708507590547,-1.3142446927975624,0.23565802696697952,0.06487804242826789,0.16595537963767804,-0.14783896865066481,-0.07551152290393892,-0.060110195437609176
10,4.204700335404812,-1.1204971263072887,-0.5495594542770701,0.14097297154732247,-0.02972795747152355,-0.0695436209991122,-0.02785437710368784,-0.031056801827640486
11,4.393601844690962,-1.9306357469151425,-1.1415042965064361,0.4896441757248748,-0.14507352735532864,-0.07219859355973704,0.13591338498337455,-0.02699960217231988
12,3.745000153736503,-0.8744631991332515,0.42691668793037624,-0.2543886022779604,-0.3563197406370496,0.041696962925306294,-0.29731224682428326,0.033807147714634805
13,4.353224089861548,-1.4166162541758747,-1.3144759826312504,0.08750017103095618,-0.000430792946653174,-0.06365293185886156,0.1289360980021464,0.03848353557280621
